"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
1054,"Personal Trainer: Math","DS","2007","Puzzle","Nintendo",0.49,1.12,0,0.09,1.7
1055,"Kirby's Return to Dreamland","Wii","2011","Platform","Nintendo",0.62,0.21,0.79,0.08,1.7
1078,"Yoshi's Cookie","GB","1992","Puzzle","Nintendo",0.59,0.24,0.82,0.03,1.68
1083,"Metroid Fusion","GBA","2002","Action","Nintendo",1.18,0.27,0.17,0.06,1.68
1109,"Mario Party 6","GC","2004","Misc","Nintendo",0.9,0.11,0.6,0.05,1.65
1110,"Super Scope 6","SNES","1991","Shooter","Nintendo",1.06,0.38,0.15,0.05,1.65
1115,"Kirby & the Amazing Mirror","GBA","2004","Platform","Nintendo",0.8,0.05,0.76,0.03,1.64
1127,"Pikmin","GC","2001","Strategy","Nintendo",0.78,0.25,0.56,0.04,1.63
1138,"Mario Hoops 3 on 3","DS","2006","Sports","Nintendo",0.99,0.04,0.49,0.1,1.62
1139,"Kirby Air Ride","GC","2003","Racing","Nintendo",1.01,0.11,0.45,0.04,1.62
1141,"Pokemon Battle Revolution","Wii","2006","Role-Playing","Nintendo",0.8,0.38,0.3,0.13,1.61
1144,"Baseball","GB","1989","Sports","Nintendo",0.66,0.27,0.65,0.03,1.61
1146,"Super Mario Strikers","GC","2005","Sports","Nintendo",0.98,0.38,0.2,0.04,1.61
1162,"The Legend of Zelda: Twilight Princess","GC","2006","Action","Nintendo",1.15,0.36,0.04,0.04,1.59
1180,"Pokemon Mystery Dungeon: Explorers of Sky","DS","2009","Role-Playing","Nintendo",0.58,0.44,0.44,0.12,1.58
1185,"Mario Party 7","GC","2005","Misc","Nintendo",0.95,0.11,0.46,0.04,1.57
1189,"Donkey Kong Classics","NES","1988","Platform","Nintendo",0.59,0.14,0.81,0.02,1.56
1194,"Pokemon Pinball: Ruby & Sapphire","GBA","2003","Misc","Nintendo",0.68,0.38,0.44,0.05,1.56
1209,"Mario Party 10","WiiU","2015","Misc","Nintendo",0.69,0.5,0.24,0.11,1.55
1212,"Fire Emblem Fates","3DS","2015","Role-Playing","Nintendo",0.71,0.22,0.52,0.1,1.54
1227,"Mario Golf: Toadstool Tour","GC","2003","Sports","Nintendo",1.09,0.15,0.25,0.04,1.53
1229,"Donkey Kong Country: Tropical Freeze","WiiU","2014","Platform","Nintendo",0.73,0.52,0.15,0.12,1.52
1235,"F1 Race","NES","1984","Racing","Nintendo",0,0,1.52,0,1.52
1262,"Ice Climber","NES","1985","Platform","Nintendo",0.46,0.1,0.92,0.02,1.5
1269,"Final Fantasy: Crystal Chronicles","GC","2003","Role-Playing","Nintendo",0.72,0.38,0.36,0.04,1.49
1273,"Banjo-Tooie","N64","2000","Platform","Nintendo",0.82,0.36,0.25,0.06,1.49
1277,"New Play Control! Mario Power Tennis","Wii","2009","Sports","Nintendo",0.37,0.69,0.28,0.14,1.48
1280,"Nintendo World Cup","NES","1990","Sports","Nintendo",0.28,0.5,0.65,0.05,1.48
1282,"Wario Land II","GB","1997","Platform","Nintendo",0.7,0.35,0.39,0.04,1.48
1290,"Mario Golf","N64","1999","Action","Nintendo",0.62,0.18,0.65,0.02,1.47
1310,"Mario Superstar Baseball","GC","2005","Sports","Nintendo",0.93,0.24,0.25,0.04,1.46
1316,"LEGO City Undercover","3DS","2013","Platform","Nintendo",0.51,0.75,0.07,0.12,1.46
1326,"4 Nin uchi Mahjong","NES","1984","Misc","Nintendo",0,0,1.45,0,1.45
1338,"Kirby Super Star","SNES","1996","Platform","Nintendo",0.26,0.07,1.09,0.02,1.44
1353,"Classic NES Series: Super Mario Bros.","GBA","2004","Platform","Nintendo",0,0,1.39,0.03,1.43
1359,"The Legend of Zelda: The Minish Cap","GBA","2004","Action","Nintendo",0.89,0.22,0.22,0.1,1.42
1362,"Super Metroid","SNES","1994","Action","Nintendo",0.57,0.12,0.71,0.02,1.42
1366,"Inazuma Eleven 2","DS","2009","Role-Playing","Nintendo",0,0.21,1.18,0.03,1.42
1376,"Metroid: Other M","Wii","2010","Action","Nintendo",0.87,0.31,0.13,0.1,1.41
1403,"Paper Mario","N64","2000","Role-Playing","Nintendo",0.58,0.18,0.59,0.02,1.38
1404,"Bravely Default: Flying Fairy","3DS","2012","Role-Playing","Nintendo",0.5,0.32,0.49,0.07,1.38
1423,"Pocket Monsters Stadium","N64","1998","Strategy","Nintendo",0,0,1.37,0,1.37
1432,"Yoshi's New Island","3DS","2014","Platform","Nintendo",0.47,0.51,0.28,0.09,1.36
1458,"Mario & Luigi: Partners in Time","DS","2005","Role-Playing","Nintendo",0.77,0.07,0.43,0.08,1.34
1462,"Donkey Kong Jungle Beat","GC","2004","Platform","Nintendo",0.84,0.22,0.24,0.04,1.34
1478,"Metroid Prime 2: Echoes","GC","2004","Shooter","Nintendo",0.87,0.35,0.07,0.04,1.33
1483,"Pokemon Ranger: Guardian Signs","DS","2010","Role-Playing","Nintendo",0.51,0.17,0.58,0.06,1.33
1492,"Gyromite","NES","1985","Puzzle","Nintendo",0.73,0.16,0.4,0.03,1.32
1528,"Yoshi's Woolly World","WiiU","2015","Platform","Nintendo",0.61,0.47,0.11,0.1,1.29
1537,"Mystery Case Files: MillionHeir","DS","2008","Adventure","Nintendo",0.76,0.4,0,0.12,1.29
1544,"Yakuman","GB","1989","Misc","Nintendo",0,0,1.28,0,1.28
1550,"Kid Icarus: Uprising","3DS","2012","Action","Nintendo",0.48,0.35,0.36,0.07,1.28
1557,"Pokemon Mystery Dungeon: Gates to Infinity","3DS","2012","Role-Playing","Nintendo",0.44,0.3,0.47,0.06,1.27
1562,"Hogan's Alley","NES","1984","Shooter","Nintendo",0.68,0.16,0.41,0.02,1.27
1576,"Hyrule Warriors","WiiU","2014","Action","Nintendo",0.61,0.42,0.13,0.1,1.26
1593,"Pokemon XD: Gale of Darkness","GC","2005","Role-Playing","Nintendo",0.71,0.19,0.31,0.03,1.25
1603,"Diddy Kong Racing DS","DS","2007","Racing","Nintendo",1.1,0.04,0,0.1,1.24
1610,"Tetris 2 (All region sales)","GB","1992","Puzzle","Nintendo",0.56,0.22,0.43,0.03,1.24
1622,"Kirby Tilt 'n' Tumble","GB","2000","Puzzle","Nintendo",0.29,0.17,0.75,0.02,1.23
1626,"Donkey Kong Country 2","GBA","2004","Platform","Nintendo",0.79,0.27,0.12,0.04,1.23
1628,"WarioWare, Inc.: Mega MicroGame$","GBA","2003","Puzzle","Nintendo",0.4,0.11,0.7,0.02,1.23
1636,"Mario Power Tennis","GC","2004","Sports","Nintendo",0.58,0.16,0.46,0.03,1.22
1638,"Game & Watch Gallery 2","GB","1997","Misc","Nintendo",0.76,0.3,0.12,0.04,1.22
1639,"Game & Watch Gallery 3","GB","1999","Misc","Nintendo",0.79,0.31,0.08,0.04,1.22
1646,"Golden Sun: The Lost Age","GBA","2002","Role-Playing","Nintendo",0.61,0.27,0.27,0.07,1.22
1671,"Pikmin 2","GC","2004","Strategy","Nintendo",0.48,0.13,0.56,0.03,1.2
1680,"SolarStriker","GB","1989","Shooter","Nintendo",0.4,0.39,0.36,0.04,1.2
1683,"Mario vs. Donkey Kong 2: March of the Minis","DS","2006","Puzzle","Nintendo",0.74,0.03,0.36,0.07,1.2
1684,"PokéPark Wii: Pikachu's Adventure","Wii","2009","Adventure","Nintendo",0.55,0.17,0.42,0.06,1.2
1689,"Captain Toad: Treasure Tracker","WiiU","2014","Puzzle","Nintendo",0.56,0.36,0.19,0.09,1.19
1696,"Kobe Bryant in NBA Courtside","N64","1998","Sports","Nintendo",1.02,0.13,0.04,0.01,1.19
1702,"Final Fantasy I & II: Dawn of Souls","GBA","2004","Role-Playing","Nintendo",0.64,0.24,0.29,0.02,1.19
1704,"Pokemon Super Mystery Dungeon","3DS","2015","Role-Playing","Nintendo",0.46,0.31,0.33,0.08,1.19
1712,"Mario Tennis","GB","2000","Sports","Nintendo",0.5,0.18,0.44,0.06,1.18
1725,"Wario Land: Shake It!","Wii","2008","Platform","Nintendo",0.6,0.31,0.15,0.11,1.17
1740,"Mario vs. Donkey Kong","GBA","2004","Puzzle","Nintendo",0.68,0.25,0.21,0.02,1.17
1752,"Jet Force Gemini","N64","1999","Shooter","Nintendo",0.78,0.28,0.07,0.02,1.16
1772,"Qix","GB","1990","Puzzle","Nintendo",0.51,0.2,0.41,0.03,1.15
1777,"Donkey Konga","GC","2003","Misc","Nintendo",0.5,0.16,0.46,0.03,1.15
1783,"Pokemon Rumble Blast","3DS","2011","Action","Nintendo",0.47,0.26,0.35,0.07,1.14
1794,"Pilotwings","SNES","1990","Simulation","Nintendo",0.46,0.17,0.48,0.02,1.14
1796,"Super R.C. Pro-Am","GB","1991","Racing","Nintendo",0.58,0.37,0.15,0.04,1.14
1808,"Fantasy Life","3DS","2012","Role-Playing","Nintendo",0.33,0.37,0.37,0.06,1.13
1811,"Donkey Kong","NES","1983","Platform","Nintendo",0.23,0.05,0.84,0.01,1.13
1816,"Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales)","GBA","2005","Role-Playing","Nintendo",0.81,0.3,0,0.02,1.13
1821,"Pilotwings 64","N64","1996","Simulation","Nintendo",0.56,0.24,0.3,0.02,1.12
1829,"Yoshi's Cookie","NES","1992","Puzzle","Nintendo",0.41,0.06,0.63,0.02,1.12
1841,"Donkey Kong Jr.","NES","1983","Platform","Nintendo",0.33,0.07,0.7,0.01,1.11
1845,"Pikmin 3","WiiU","2013","Strategy","Nintendo",0.45,0.31,0.29,0.06,1.11
1852,"The Legend of Zelda: Tri Force Heroes","3DS","2015","Action","Nintendo",0.52,0.33,0.17,0.08,1.1
1862,"F-Zero X","N64","1998","Racing","Nintendo",0.45,0.33,0.29,0.03,1.1
1863,"Popeye","NES","1983","Platform","Nintendo",0.51,0.12,0.45,0.02,1.1
1868,"Tales of Symphonia","GC","2003","Role-Playing","Nintendo",0.54,0.21,0.31,0.04,1.1
1892,"Endless Ocean","Wii","2007","Adventure","Nintendo",0.44,0.47,0.09,0.09,1.09
1911,"LEGO City Undercover","WiiU","2013","Platform","Nintendo",0.47,0.4,0.13,0.08,1.08
1916,"Star Fox: Assault","GC","2005","Shooter","Nintendo",0.68,0.18,0.19,0.03,1.08
1929,"Super Princess Peach","DS","2005","Platform","Nintendo",0.72,0.06,0.21,0.07,1.07
1988,"Pokemon Conquest","DS","2012","Role-Playing","Nintendo",0.58,0.06,0.37,0.04,1.05
1999,"Naruto: Clash of Ninja 2","GC","2003","Fighting","Nintendo",0.44,0.12,0.45,0.03,1.04
2002,"F-Zero: Maximum Velocity","GBA","2001","Racing","Nintendo",0.39,0.16,0.37,0.12,1.04
2008,"Kirby: Mass Attack","DS","2011","Platform","Nintendo",0.52,0.06,0.41,0.05,1.04
2021,"Donkey Kong Land III","GB","N/A","Platform","Nintendo",0.68,0.31,0,0.04,1.03
2043,"Bayonetta 2","WiiU","2014","Action","Nintendo",0.34,0.28,0.1,0.3,1.01
2062,"Excitebike 64","N64","2000","Racing","Nintendo",0.65,0.15,0.19,0.01,1
2063,"NES Open Tournament Golf","NES","1991","Sports","Nintendo",0.41,0.1,0.47,0.02,1
2064,"Game & Watch Gallery","GB","1997","Misc","Nintendo",0.63,0.25,0.09,0.03,1
2109,"Xenoblade Chronicles","Wii","2010","Role-Playing","Nintendo",0.49,0.26,0.16,0.08,0.98
2111,"Mario Party Advance","GBA","2005","Misc","Nintendo",0.5,0.19,0.28,0.02,0.98
2113,"Tetris 2","NES","1993","Puzzle","Nintendo",0.62,0.13,0.21,0.02,0.98
2135,"Fire Emblem","GBA","2003","Strategy","Nintendo",0.49,0.18,0.29,0.01,0.97
2171,"PilotWings Resort","3DS","2011","Simulation","Nintendo",0.4,0.36,0.13,0.07,0.96
2195,"Wii Play: Motion","Wii","2011","Misc","Nintendo",0.24,0.43,0.18,0.09,0.95
2199,"Star Fox 64 3D","3DS","2011","Shooter","Nintendo",0.48,0.27,0.13,0.07,0.94
2206,"Mario Tennis Open","3DS","2012","Sports","Nintendo",0.26,0.29,0.33,0.05,0.94
2214,"The Legend of Zelda: Twilight Princess HD","WiiU","2016","Action","Nintendo",0.48,0.3,0.08,0.08,0.94
2261,"Balloon Fight","NES","1985","Platform","Nintendo",0.39,0.09,0.43,0.01,0.92
2263,"Disney Magical World","3DS","2013","Adventure","Nintendo",0.16,0.2,0.53,0.03,0.92
2320,"Fossil Fighters","DS","2008","Role-Playing","Nintendo",0.84,0,0,0.06,0.9
2335,"Classic NES Series: The Legend of Zelda","GBA","2004","Adventure","Nintendo",0.46,0.17,0.24,0.02,0.89
2337,"Fire Emblem: The Sacred Stones","GBA","2004","Strategy","Nintendo",0.42,0.16,0.3,0.02,0.89
2338,"Pokemon Card GB2: Here Comes Team GR!","GB","2001","Strategy","Nintendo",0,0,0.89,0,0.89
2350,"Wii Fit U","WiiU","2013","Sports","Nintendo",0.39,0.24,0.21,0.06,0.89
2367,"Endless Ocean: Blue World","Wii","2009","Simulation","Nintendo",0.47,0.22,0.12,0.07,0.88
2425,"The Legendary Starfy","DS","2008","Platform","Nintendo",0.61,0,0.2,0.05,0.86
2450,"Kirby: Planet Robobot","3DS","2016","Action","Nintendo",0.26,0.1,0.44,0.04,0.85
2456,"Golden Sun: Dark Dawn","DS","2010","Role-Playing","Nintendo",0.56,0.11,0.13,0.05,0.84
2461,"Xenoblade Chronicles X","WiiU","2015","Role-Playing","Nintendo",0.36,0.28,0.14,0.06,0.84
2476,"Metroid: Zero Mission","GBA","2004","Adventure","Nintendo",0.6,0.22,0,0.01,0.84
2515,"Clu Clu Land","NES","1984","Puzzle","Nintendo",0.42,0.1,0.28,0.02,0.82
2516,"Killer Instinct Gold","N64","1996","Fighting","Nintendo",0.61,0.19,0,0.01,0.82
2542,"The Legend of Zelda: Four Swords Adventures","GC","2004","Action","Nintendo",0.63,0.16,0,0.02,0.81
2552,"EarthBound","SNES","1994","Role-Playing","Nintendo",0,0,0.81,0,0.81
2592,"Mario & Sonic at the Sochi 2014 Olympic Winter Games","WiiU","2013","Sports","Nintendo",0.39,0.22,0.13,0.06,0.8
2594,"Capcom's Soccer Shootout","SNES","1993","Sports","Nintendo",0,0,0.8,0,0.8
2620,"Major League Baseball Featuring Ken Griffey Jr","N64","1998","Sports","Nintendo",0.75,0.03,0,0.01,0.79
2626,"Personal Trainer: Walking","DS","2008","Sports","Nintendo",0.22,0.32,0.17,0.07,0.79
2628,"PokePark 2: Wonders Beyond","Wii","2011","Action","Nintendo",0.27,0.2,0.27,0.05,0.79
2629,"Professor Layton and the Azran Legacy","3DS","2013","Puzzle","Nintendo",0,0.48,0.25,0.06,0.78
2634,"Metroid Prime Hunters","DS","2006","Shooter","Nintendo",0.58,0.04,0.11,0.06,0.78
2644,"Tetris Party Deluxe","DS","2010","Puzzle","Nintendo",0.29,0.3,0.12,0.07,0.78
2683,"Pokemon Dash","DS","2004","Racing","Nintendo",0.21,0.14,0.38,0.04,0.77
2684,"Donkey Kong Country 3","GBA","2005","Platform","Nintendo",0.45,0.17,0.14,0.01,0.77
2765,"Jump Ultimate Stars","DS","2006","Fighting","Nintendo",0,0,0.74,0,0.74
2773,"Mario & Luigi: Paper Jam","3DS","2015","Role-Playing","Nintendo",0.16,0.3,0.25,0.04,0.74
2792,"Sword of Mana","GBA","2003","Role-Playing","Nintendo",0.31,0.11,0.3,0.02,0.74
2798,"Classic NES Series: Donkey Kong","GBA","2004","Platform","Nintendo",0.4,0.15,0.17,0.01,0.73
2800,"Yoshi","GB","1991","Puzzle","Nintendo",0,0,0.73,0,0.73
2804,"Kirby: Canvas Curse","DS","2005","Platform","Nintendo",0.37,0,0.32,0.04,0.73
2806,"Practise English!","DS","2007","Misc","Nintendo",0,0,0.73,0,0.73
2814,"Just Dance Wii","Wii","2011","Misc","Nintendo",0,0,0.73,0,0.73
2824,"Style Savvy: Trendsetters","3DS","2012","Simulation","Nintendo",0.16,0.02,0.53,0.01,0.72
2852,"Monster Hunter Tri","WiiU","2012","Role-Playing","Nintendo",0.26,0.19,0.22,0.04,0.72
2884,"Rhythm Heaven: The Best+","3DS","2015","Misc","Nintendo",0,0,0.71,0,0.71
2887,"Blast Corps","N64","1997","Action","Nintendo",0.39,0.09,0.17,0.06,0.71
2890,"WarioWare, Inc.: Mega Party Game$","GC","2003","Puzzle","Nintendo",0.2,0.05,0.44,0.02,0.71
2925,"Advance Wars","GBA","2001","Strategy","Nintendo",0.5,0.19,0,0.01,0.7
2939,"Classic NES Series: Zelda II: The Adventure of Link","GBA","2004","Adventure","Nintendo",0.37,0.14,0.17,0.01,0.7
2940,"Fire Emblem: Monsh? no Nazo","SNES","1994","Role-Playing","Nintendo",0,0,0.7,0,0.7
2956,"Mario Pinball Land","GBA","2004","Misc","Nintendo",0.5,0.18,0,0.01,0.69
2967,"Nintendo Presents: New Style Boutique 2 - Fashion Forward","3DS","2015","Misc","Nintendo",0.01,0.61,0.02,0.04,0.69
2975,"Kirby's Dream Collection: Special Edition","Wii","2012","Action","Nintendo",0.34,0,0.33,0.02,0.68
2978,"The Last Story","Wii","2011","Role-Playing","Nintendo",0.32,0.13,0.18,0.04,0.68
2990,"Fossil Fighters: Champions","DS","2010","Role-Playing","Nintendo",0.32,0,0.34,0.02,0.68
3008,"100 Classic Books","DS","2008","Misc","Nintendo",0.13,0.52,0,0.02,0.67
3077,"Wario: Master of Disguise","DS","2007","Platform","Nintendo",0.28,0.02,0.33,0.03,0.66
3083,"New Play Control! Pikmin","Wii","2008","Strategy","Nintendo",0.29,0.14,0.19,0.04,0.66
3103,"F-Zero GX","GC","2003","Racing","Nintendo",0.41,0.11,0.12,0.02,0.65
3106,"Yoshi Topsy-Turvy","GBA","2004","Platform","Nintendo",0.25,0.09,0.3,0.01,0.65
3115,"Advance Wars 2: Black Hole Rising","GBA","2003","Strategy","Nintendo",0.47,0.17,0,0.01,0.65
3116,"Fire Emblem: Shadow Dragon","DS","2008","Role-Playing","Nintendo",0.31,0.03,0.27,0.03,0.65
3176,"Cruis'n World","N64","1998","Racing","Nintendo",0.59,0.04,0,0.01,0.64
3180,"Donkey Kong Barrel Blast","Wii","2007","Racing","Nintendo",0.2,0.26,0.11,0.06,0.64
3216,"Metroid Prime: Trilogy","Wii","2009","Shooter","Nintendo",0.43,0.05,0,0.14,0.63
3219,"Advance Wars: Days of Ruin","DS","N/A","Strategy","Nintendo",0.44,0.13,0,0.06,0.63
3273,"Mario's Picross","GB","1995","Puzzle","Nintendo",0,0,0.62,0,0.62
3304,"Ganbaru Watashi no Kakei Diary","DS","2007","Misc","Nintendo",0,0,0.61,0,0.61
3306,"New Play Control! Donkey Kong Jungle Beat","Wii","2008","Platform","Nintendo",0.24,0.17,0.14,0.05,0.61
3319,"Final Fantasy IV Advance","GBA","2005","Role-Playing","Nintendo",0.27,0.1,0.22,0.01,0.61
3330,"Game & Watch Gallery 4","GBA","2002","Misc","Nintendo",0.43,0.16,0,0.01,0.61
3335,"New Play Control! Pikmin 2","Wii","2009","Strategy","Nintendo",0.11,0.14,0.33,0.02,0.6
3340,"Wave Race: Blue Storm","GC","2001","Racing","Nintendo",0.4,0.1,0.09,0.02,0.6
3349,"WarioWare D.I.Y.","DS","2009","Misc","Nintendo",0.18,0.19,0.2,0.04,0.6
3362,"Mickey's Speedway USA","N64","2000","Racing","Nintendo",0.37,0.08,0.14,0.01,0.6
3383,"Pokemon Trozei!","DS","2005","Puzzle","Nintendo",0.26,0,0.31,0.02,0.6
3437,"Kirby's Dream Course","SNES","1994","Sports","Nintendo",0,0,0.59,0,0.59
3487,"Fire Emblem: Seisen no Keifu","SNES","1996","Strategy","Nintendo",0,0,0.58,0,0.58
3497,"Rooms: The Main Building","DS","2010","Adventure","Nintendo",0.1,0.41,0.01,0.06,0.58
3500,"Tetris Party Deluxe","Wii","2010","Puzzle","Nintendo",0.34,0.17,0.02,0.05,0.58
3534,"The Mysterious Murasame Castle","NES","1986","Action","Nintendo",0,0,0.57,0,0.57
3564,"Donkey Kong Jungle Climber","DS","2007","Platform","Nintendo",0.26,0.04,0.24,0.03,0.56
3570,"Classic NES Series: Dr. Mario","GBA","2004","Puzzle","Nintendo",0.31,0.11,0.13,0.01,0.56
3578,"Hotel Dusk: Room 215","DS","2007","Adventure","Nintendo",0.27,0.05,0.22,0.03,0.56
3595,"Xenoblade Chronicles","3DS","2015","Role-Playing","Nintendo",0.26,0.14,0.12,0.04,0.56
3601,"Hamtaro: Ham-Hams Unite!","GB","2001","Role-Playing","Nintendo",0,0,0.56,0,0.56
3614,"DS Bimoji Training","DS","2008","Misc","Nintendo",0,0,0.56,0,0.56
3643,"Jump Super Stars","DS","2005","Fighting","Nintendo",0,0,0.55,0,0.55
3698,"Excite Truck","Wii","2006","Racing","Nintendo",0.4,0.03,0.08,0.04,0.54
3710,"Inazuma Eleven","DS","2008","Role-Playing","Nintendo",0,0.14,0.38,0.02,0.54
3725,"Fire Emblem: Path of Radiance","GC","2005","Action","Nintendo",0.29,0.08,0.16,0.01,0.54
3742,"Star Fox Command","DS","2006","Shooter","Nintendo",0.39,0.01,0.1,0.04,0.54
3745,"Inazuma Eleven GO","3DS","2011","Role-Playing","Nintendo",0,0.05,0.48,0,0.54
3787,"Kirby and the Rainbow Curse","WiiU","2015","Platform","Nintendo",0.23,0.14,0.12,0.04,0.53
3817,"Picross 3D","DS","2009","Puzzle","Nintendo",0.3,0.03,0.16,0.03,0.53
3821,"Wayne Gretzky's 3D Hockey","N64","1996","Sports","Nintendo",0.49,0.03,0,0,0.53
3824,"Mario Tennis: Power Tour","GBA","2005","Sports","Nintendo",0.24,0.09,0.19,0.01,0.52
3832,"Naruto Shippuden: Clash of Ninja Revolution 3","Wii","2009","Fighting","Nintendo",0.45,0.04,0,0.04,0.52
3867,"Kenkou Ouen Recipe 1000: DS Kondate Zenshuu","DS","2006","Misc","Nintendo",0,0,0.52,0,0.52
3897,"Jam With the Band","DS","2008","Misc","Nintendo",0,0,0.51,0,0.51
3904,"Fire Emblem: Radiant Dawn","Wii","2007","Strategy","Nintendo",0.28,0.03,0.17,0.03,0.51
3909,"Wrecking Crew","NES","1985","Platform","Nintendo",0,0,0.51,0,0.51
3925,"Picross DS","DS","2007","Puzzle","Nintendo",0.17,0.02,0.3,0.02,0.51
3981,"Tactics Ogre: The Knight of Lodis","GBA","2001","Role-Playing","Nintendo",0.13,0.05,0.31,0.01,0.5
3982,"Fortune Street","Wii","2011","Misc","Nintendo",0.27,0.04,0.17,0.02,0.5
4043,"Mario & Wario","SNES","1993","Puzzle","Nintendo",0,0,0.49,0,0.49
4046,"Pokemon Art Academy","3DS","2014","Misc","Nintendo",0.18,0.12,0.16,0.03,0.49
4074,"Steel Diver","3DS","2011","Action","Nintendo",0.31,0.1,0.05,0.03,0.49
4089,"Children of Mana","DS","2006","Role-Playing","Nintendo",0.16,0.01,0.29,0.02,0.48
4093,"Mario Golf: World Tour","3DS","2014","Sports","Nintendo",0.15,0.14,0.17,0.03,0.48
4130,"FlingSmash","Wii","2010","Action","Nintendo",0.38,0.01,0.07,0.02,0.48
4152,"Bravely Second: End Layer","3DS","2015","Role-Playing","Nintendo",0.16,0.11,0.18,0.03,0.47
4176,"Densetsu no Stafi","GBA","2002","Platform","Nintendo",0,0,0.46,0.01,0.47
4188,"Bomberman Hero","N64","1998","Platform","Nintendo",0.27,0.06,0.08,0.05,0.47
4223,"Dance Dance Revolution: Mario Mix","GC","2005","Misc","Nintendo",0.36,0.09,0,0.01,0.47
4231,"Classic NES Series: Pac-Man","GBA","2004","Puzzle","Nintendo",0.25,0.09,0.12,0.01,0.46
4249,"Art Academy: Lessons for Everyone","3DS","2012","Action","Nintendo",0.2,0.03,0.21,0.02,0.46
4263,"Mario & Sonic at the Rio 2016 Olympic Games","3DS","2016","Action","Nintendo",0.04,0.16,0.24,0.01,0.46
4298,"Mother 1+2","GBA","2003","Role-Playing","Nintendo",0,0,0.45,0.01,0.46
4301,"Puzzle & Dragons Z + Super Mario Bros. Edition","3DS","2015","Puzzle","Nintendo",0.05,0.05,0.34,0.01,0.46
4361,"Samurai Warriors 3","Wii","2009","Action","Nintendo",0.1,0.02,0.32,0.01,0.45
4367,"Pokemon Puzzle League","N64","2000","Puzzle","Nintendo",0.36,0.08,0,0.01,0.45
4402,"Mario Tennis Ultra Smash","WiiU","2015","Sports","Nintendo",0.13,0.16,0.13,0.03,0.45
4406,"Mario Golf: Advance Tour","GBA","2004","Sports","Nintendo",0.32,0.12,0,0.01,0.45
4439,"Densetsu no Stafi 2","GBA","2003","Platform","Nintendo",0,0,0.43,0.01,0.44
4455,"Sin and Punishment: Star Successor","Wii","2009","Shooter","Nintendo",0.2,0.14,0.06,0.04,0.44
4469,"Wario World","GC","2003","Platform","Nintendo",0.34,0.09,0,0.01,0.44
